schemaname,tablename,policyname,permissive,roles,cmd,qual,with_check
public,agents,Users can delete own agents,PERMISSIVE,{authenticated},DELETE,(auth.uid() = user_id),null
public,agents,Users can insert own agents,PERMISSIVE,{authenticated},INSERT,null,(auth.uid() = user_id)
public,agents,Users can update own agents,PERMISSIVE,{authenticated},UPDATE,(auth.uid() = user_id),(auth.uid() = user_id)
public,agents,Users can view own agents,PERMISSIVE,{authenticated},SELECT,(auth.uid() = user_id),null
public,agents,agents_select_campaign_master,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM (campaign_characters cc
     JOIN campaigns c ON ((c.id = cc.campaign_id)))
  WHERE ((cc.agent_id = agents.id) AND (c.owner_id = auth.uid()))))",null
public,agents,agents_update_campaign_master,PERMISSIVE,{public},UPDATE,"(EXISTS ( SELECT 1
   FROM (campaign_characters cc
     JOIN campaigns c ON ((c.id = cc.campaign_id)))
  WHERE ((cc.agent_id = agents.id) AND (c.owner_id = auth.uid()))))","(EXISTS ( SELECT 1
   FROM (campaign_characters cc
     JOIN campaigns c ON ((c.id = cc.campaign_id)))
  WHERE ((cc.agent_id = agents.id) AND (c.owner_id = auth.uid()))))"
public,campaign_characters,campaign_characters_delete,PERMISSIVE,{public},DELETE,"((user_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM campaigns c
  WHERE ((c.id = campaign_characters.campaign_id) AND (c.owner_id = auth.uid())))))",null
public,campaign_characters,campaign_characters_insert,PERMISSIVE,{public},INSERT,null,"((user_id = auth.uid()) AND (EXISTS ( SELECT 1
   FROM agents a
  WHERE ((a.id = campaign_characters.agent_id) AND (a.user_id = auth.uid())))) AND (EXISTS ( SELECT 1
   FROM campaign_members m
  WHERE ((m.campaign_id = campaign_characters.campaign_id) AND (m.user_id = auth.uid())))))"
public,campaign_characters,campaign_characters_select,PERMISSIVE,{public},SELECT,"((user_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM campaigns c
  WHERE ((c.id = campaign_characters.campaign_id) AND (c.owner_id = auth.uid())))) OR (EXISTS ( SELECT 1
   FROM campaign_members m
  WHERE ((m.campaign_id = campaign_characters.campaign_id) AND (m.user_id = auth.uid())))))",null
public,campaign_members,campaign_members_delete,PERMISSIVE,{public},DELETE,"((user_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM campaigns c
  WHERE ((c.id = campaign_members.campaign_id) AND (c.owner_id = auth.uid())))))",null
public,campaign_members,campaign_members_insert,PERMISSIVE,{public},INSERT,null,"((user_id = auth.uid()) AND (EXISTS ( SELECT 1
   FROM campaigns c
  WHERE ((c.id = campaign_members.campaign_id) AND (c.status = 'active'::text)))))"
public,campaign_members,campaign_members_select,PERMISSIVE,{public},SELECT,"(is_campaign_owner(campaign_id, auth.uid()) OR is_campaign_member(campaign_id, auth.uid()))",null
public,campaigns,campaigns_delete,PERMISSIVE,{public},DELETE,(owner_id = auth.uid()),null
public,campaigns,campaigns_insert,PERMISSIVE,{public},INSERT,null,(owner_id = auth.uid())
public,campaigns,campaigns_select,PERMISSIVE,{public},SELECT,"((owner_id = auth.uid()) OR is_campaign_member(id, auth.uid()))",null
public,campaigns,campaigns_update,PERMISSIVE,{public},UPDATE,(owner_id = auth.uid()),(owner_id = auth.uid())
